input_zip,route_class,fscskey,fscs_seq,distance_km,routing_basis,confidence_note
11724,EXACT_IMLS_OUTLET_ZIP,NY0656,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11725,EXACT_IMLS_OUTLET_ZIP,NY0657,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11726,EXACT_IMLS_OUTLET_ZIP,NY0658,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11727,ZCTA_NEAREST_ACTIVE_OUTLET,NY0654,003,2.845,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11729,EXACT_IMLS_OUTLET_ZIP,NY0660,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11730,EXACT_IMLS_OUTLET_ZIP,NY0663,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11731,EXACT_IMLS_OUTLET_ZIP,NY0677,003,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11732,ZCTA_NEAREST_ACTIVE_OUTLET,NY0371,002,3.431,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11733,EXACT_IMLS_OUTLET_ZIP,NY0685,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11735,EXACT_IMLS_OUTLET_ZIP,NY0342,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11738,ZCTA_NEAREST_ACTIVE_OUTLET,NY0654,003,3.274,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11739,ZCTA_NEAREST_ACTIVE_OUTLET,NY0663,002,2.795,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11740,EXACT_IMLS_OUTLET_ZIP,NY0665,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
