state,state_name,rank_in_state,geo_id,place_name,place_fips,pop_acs2024_5yr_b01003,ranking_universe,vintage2025_sanity,test_zcta,test_zcta_distance_km,place_intpt_lat,place_intpt_lon,zcta_method,zcta_flag,nearest_outlet_fscskey,nearest_outlet_name,nearest_outlet_km,destination_url,destination_class,destination_handoff,destination_provenance,destination_rights,destination_check_date
CT,Connecticut,2,1600000US0973000,"Stamford city, Connecticut",73000,137144,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,06905,0.933,41.079615,-73.546144,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CT0151,HARRY BENNETT LIBRARY,1.917,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
CT,Connecticut,3,1600000US0952000,"New Haven city, Connecticut",52000,134349,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,06510,0.532,41.310809,-72.924953,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CT0103,NEW HAVEN FREE PUBLIC LIBRARY,0.244,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
DE,Delaware,1,1600000US1077580,"Wilmington city, Delaware",77580,71727,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,19801,1.551,39.735651,-75.532104,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,DE0022,WILMINGTON INSTITUTE LIBRARY,1.702,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
DE,Delaware,2,1600000US1021200,"Dover city, Delaware",21200,39837,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,19901,4.747,39.160602,-75.521659,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,DE0029,DOVER PUBLIC LIBRARY,0.229,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
DE,Delaware,3,1600000US1050670,"Newark city, Delaware",50670,30330,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,19717,0.654,39.677649,-75.757479,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,DE0046,NEWARK FREE LIBRARY,1.881,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
FL,Florida,1,1600000US1235000,"Jacksonville city, Florida",35000,977670,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,32203,0.923,30.335914,-81.661762,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,FL0003,JACKSONVILLE PUBLIC LIBRARY - MAIN LIBRARY,0.802,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
FL,Florida,2,1600000US1245000,"Miami city, Florida",45000,459745,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,33128,0.549,25.775163,-80.208615,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,FL0025,HISPANIC BRANCH LIBRARY,0.953,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
FL,Florida,3,1600000US1271000,"Tampa city, Florida",71000,401618,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,33603,2.21,27.967876,-82.474586,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,FL0035,WEST TAMPA BRANCH LIBRARY,1.41,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
GA,Georgia,1,1600000US1304000,"Atlanta city, Georgia",04000,505268,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,30314,1.026,33.762909,-84.422675,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,GA0022,WASHINGTON PARK/ANNIE L. MCPHEETERS BRANCH LIBRARY,0.999,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
GA,Georgia,2,1600000US1319000,"Columbus city, Georgia",19000,203711,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,31907,3.802,32.510742,-84.874098,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,GA0036,COLUMBUS PUBLIC LIBRARY,7.545,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
GA,Georgia,3,1600000US1304204,"Augusta-Richmond County consolidated government (balance), Georgia",04204,201528,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,30812,4.125,33.365531,-82.073422,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,GA0039,DIAMOND LAKES BRANCH,1.56,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
HI,Hawaii,1,1600000US1571550,"Urban Honolulu CDP, Hawaii",71550,345482,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,96813,0.908,21.324347,-157.84764,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,HI0001,LILIHA PUBLIC LIBRARY,1.394,https://www.librarieshawaii.org/,STATE_LIBRARY_SYSTEM,indirect,Hawaii State Public Library System official site.,LINK_ONLY,2026-09-12
HI,Hawaii,2,1600000US1506290,"East Honolulu CDP, Hawaii",06290,51360,ACS_2024_5YR_B01003_PLACE_SUMLEV160,DIFFERS_FROM_TOP3_INCORPORATED,96825,2.644,21.289092,-157.717468,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,HI0001,HAWAII KAI PUBLIC LIBRARY,1.929,https://www.librarieshawaii.org/,STATE_LIBRARY_SYSTEM,indirect,Hawaii State Public Library System official site.,LINK_ONLY,2026-09-12
HI,Hawaii,3,1600000US1514650,"Hilo CDP, Hawaii",14650,50404,ACS_2024_5YR_B01003_PLACE_SUMLEV160,DIFFERS_FROM_TOP3_INCORPORATED,96749,12.306,19.688748,-155.082892,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,HI0001,HILO PUBLIC LIBRARY,4.043,https://www.librarieshawaii.org/,STATE_LIBRARY_SYSTEM,indirect,Hawaii State Public Library System official site.,LINK_ONLY,2026-09-12
IA,Iowa,1,1600000US1921000,"Des Moines city, Iowa",21000,212421,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,50309,1.619,41.57259,-93.610243,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IA0027,DES MOINES PUBLIC LIBRARY,2.302,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IA,Iowa,2,1600000US1912000,"Cedar Rapids city, Iowa",12000,137264,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,52401,2.073,41.964226,-91.679164,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IA0373,CEDAR RAPIDS PUBLIC LIBRARY,1.952,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IA,Iowa,3,1600000US1919000,"Davenport city, Iowa",19000,100913,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,52806,4.018,41.55682,-90.603948,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IA0355,FAIRMOUNT STREET BRANCH,2.219,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
ID,Idaho,1,1600000US1608830,"Boise City city, Idaho",08830,237242,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,83725,2.223,43.59805,-116.231596,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,ID0005,BOISE PUBLIC-HILLCREST BRANCH,1.543,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
ID,Idaho,2,1600000US1652120,"Meridian city, Idaho",52120,130138,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,83642,4.117,43.610595,-116.400672,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,ID0061,MERIDIAN DISTRICT - UNBOUND BRANCH,0.851,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
ID,Idaho,3,1600000US1656260,"Nampa city, Idaho",56260,110319,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,83687,3.985,43.584321,-116.563971,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,ID0069,NAMPA PUBLIC,0.79,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IL,Illinois,1,1600000US1714000,"Chicago city, Illinois",14000,2711226,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,60608,1.611,41.837045,-87.684939,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IL0098,MCKINLEY PARK BRANCH,1.211,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IL,Illinois,2,1600000US1703012,"Aurora city, Illinois",03012,179898,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,60505,0.718,41.763455,-88.290099,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IL0029,AURORA PUBLIC LIBRARY DISTRICT BOOKMOBILE,2.567,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IL,Illinois,3,1600000US1751622,"Naperville city, Illinois",51622,150692,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,60540,2.265,41.749173,-88.162019,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IL0368,NAPERVILLE PUBLIC LIBRARY,2.78,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IN,Indiana,1,1600000US1836003,"Indianapolis city (balance), Indiana",36003,885860,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,46204,1.166,39.776664,-86.145935,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IN0210,INDIANAPOLIS PUBLIC LIBRARY,0.937,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IN,Indiana,2,1600000US1825000,"Fort Wayne city, Indiana",25000,268589,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,46805,2.485,41.088193,-85.142791,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IN0073,LITTLE TURTLE BRANCH,1.217,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
IN,Indiana,3,1600000US1822000,"Evansville city, Indiana",22000,116116,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,47711,3.07,37.987737,-87.534705,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,IN0020,STRINGTOWN BRANCH LIBRARY,2.043,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
KS,Kansas,1,1600000US2079000,"Wichita city, Kansas",79000,397945,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,67202,1.211,37.689344,-97.348353,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,KS0226,ADVANCED LEARNING LIBRARY,0.181,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
KS,Kansas,2,1600000US2053775,"Overland Park city, Kansas",53775,200306,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,66213,1.601,38.889042,-94.690584,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,KS0134,BLUE VALLEY LIBRARY,3.819,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
KS,Kansas,3,1600000US2036000,"Kansas City city, Kansas",36000,155135,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,66112,2.582,39.122539,-94.741781,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,KS0133,WEST WYANDOTTE,2.43,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
KY,Kentucky,1,1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",48006,631818,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,40218,2.831,38.165376,-85.647377,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,KY0053,NEWBURG,2.7,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
